pressure(bar),loading_abs_avg(mol/kg),loading_abs_dev(mol/kg)
0.2,0.83315857166195,0.054563279809528
0.57324860878485,2.4045811290309,0.17026828534939
1.0298389804966,4.1292057970815,0.11726222390742
1.5997913264783,5.5350512083535,0.16998434435854
2.1997913264783,6.3922976415933,0.11549819040518
2.7997913264783,7.0679000767353,0.083270157443436
3.3997913264783,7.6438482969163,0.1178210283578
3.9997913264783,8.1647917610201,0.068277936764106
4.5997913264783,8.5017817722562,0.1256415258733
5.1997913264783,8.9033371856597,0.15622943478274
5.7997913264783,9.2171747058877,0.042791715222803
6.3997913264783,9.5560271806478,0.13028057849404
6.9997913264783,9.7495330019901,0.12325617546653
7.5997913264783,10.148621685926,0.1843081984639
8.1997913264783,10.356770609375,0.26118663110986
8.7997913264783,10.553107375274,0.13832243617314
9.3997913264783,10.857632577882,0.15702316538237
9.9997913264783,10.913721701611,0.29134902759686
10.2,11.060036836061,0.11445730215475
