pressure(bar),loading_abs_avg(mol/kg),loading_abs_dev(mol/kg)
0.2,1.8686869405476,0.19737834927108
0.4167218209835,3.7679318250202,0.3629323337128
0.68445057189431,5.606301165022,0.17748553471162
1.0226268583957,7.2483271316139,0.37302269630756
1.4615346399819,8.6616663729113,0.36725871107034
2.0507319434134,10.010301743055,0.22607892478057
2.6507319434134,10.778816865384,0.22516220211948
3.2507319434134,11.549701086735,0.36990892285166
3.8507319434134,11.892293406379,0.30456031959643
4.4507319434134,12.36851664485,0.12719701350171
5.0507319434134,12.80043086463,0.19144741767719
5.6507319434134,13.114800004604,0.21739238616406
6.2507319434134,13.27210474628,0.25894801173848
6.8507319434134,13.428036097219,0.25476822983365
7.4507319434134,13.696413814847,0.37650348275584
8.0507319434134,13.833512545288,0.2144587017275
8.6507319434134,14.06259412042,0.20899707519091
9.2507319434134,14.214130620996,0.28519750435116
9.8507319434134,14.388619914284,0.47916123013544
10.2,14.246542642417,0.23121805005595
