pressure(bar),loading_abs_avg(mol/kg),loading_abs_dev(mol/kg)
0.2,0.3376982460771,0.044434163981009
0.8,1.26105124379,0.053550963645135
1.4,2.306066057388,0.077443160951833
2.0,3.2934717229806,0.15898710185767
2.6,4.3275631552614,0.1784773635426
3.2,5.5822133826063,0.11853217595945
3.8,6.6026782154696,0.23837917608719
4.4,7.6717754720807,0.13129627166571
5.0,8.7046853090283,0.12372798452925
5.6,9.7227274464243,0.1068454122772
6.2,10.598009065655,0.19988545605344
6.8,11.250589716988,0.23399491680858
7.4,12.118458738158,0.24766993178038
8.0,12.639261757444,0.28195189132602
8.6,13.207405096229,0.19860279244493
9.2,13.754203212844,0.30826817311204
9.8,14.135977515054,0.20798285756777
10.2,14.414876517106,0.18414875007185
