pressure(bar),loading_abs_avg(mol/kg),loading_abs_dev(mol/kg)
0.2,4.949973812896,0.218833613165
0.29843461378973,6.2741067465288,0.11703105018679
0.4262684866424,7.4238440885645,0.26121931896176
0.59800805347503,8.1137609358157,0.21383198483856
0.83891765827365,8.6178241516392,0.097619985479271
1.1965352984873,9.0616396056638,0.1102442587285
1.7697710577745,9.3217039131649,0.096978364139194
2.3697710577745,9.5386924290385,0.12510363676205
2.9697710577745,9.6336362219368,0.089261342732281
3.5697710577745,9.7091546636519,0.12987154859897
4.1697710577745,9.8953603858967,0.17376047441994
4.7697710577745,9.8702512836426,0.19600033269995
5.3697710577745,9.960477060172,0.19172214746551
5.9697710577745,10.034526780381,0.14374388963367
6.5697710577745,10.109401399002,0.13036121514483
7.1697710577745,10.085519584578,0.22683587880219
7.7697710577745,10.172858216697,0.18179385083841
8.3697710577745,10.208097473627,0.25037098173216
8.9697710577745,10.251696371511,0.11384750218024
9.5697710577745,10.258647649439,0.20540520268784
10.169771057775,10.295184612314,0.36762924545278
10.2,10.333351252499,0.12266642193283
