Pressure(bar),Loading(mmol/g)
0.2000000000,0.0210719720
0.8000000000,0.0900023230
1.4000000000,0.1557832410
2.0000000000,0.2256227060
2.6000000000,0.2894230540
3.2000000000,0.3594248610
3.8000000000,0.4232901450
4.4000000000,0.4948504340
5.0000000000,0.5535532480
5.6000000000,0.6246589790
6.2000000000,0.6885567320
6.8000000000,0.7771953830
7.4000000000,0.8194367330
8.0000000000,0.8929451240
8.6000000000,0.9440828070
9.2000000000,1.0487283650
9.8000000000,1.1086000400
10.2000000000,1.1198990330
