row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row2580,O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C28H46O,4.43,80.7544779999999,0,0,75,50.287522,32,696,5272.01,446.935502720831,1,1,7,2,0.466666666666667,11,1,20.23,6.0,398.354866092001,10.502,164,C28H46O,0,0,0,29,398.66528471362,0.32,4
Row2581,O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H]([C@@H](CC[C@H](C(C)C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C28H48O,4.43,82.0880639999999,0,0,77,52.473936,32,696,5588.01,449.571961421631,1,1,7,2,0.466666666666667,12,1,20.23,6.0,400.370516156001,11.026,164,C28H48O,0,0,0,29,400.681166221271,0.337662337662338,5
Row2582,OC1CC2=CCC3C4C(C(C(/C=C/C(C(C)C)CC)C)CC4)(C)CCC3C2(C)CC1,C29H48O,4.54,83.8480639999999,0,0,78,52.473936,33,725,5691.01,464.231487346698,1,1,7,2,0.466666666666667,12,1,20.23,6.04439411935845,412.370516156001,11.071,168,C29H48O,0,0,0,30,412.691902118059,0.320512820512821,5
Row2583,Fc1ccc(Cn2c(nc3c2cccc3)NC4CCN(CCc5ccc(OC)cc5)CC4)cc1,C28H31N4OF,3.88,75.7095829999999,21,22,65,42.948417,38,1146,3639.06,419.941974096604,3,1,2,10,0.5,10,1,42.32,6.24792751344359,458.248189832001,5.809,180,C28H31FN4O,0,0,0,34,458.571389454377,0.138461538461538,8
Row2584,Clc1c(OC(F)(F)C(F)C(F)(F)F)cc(Cl)c(c1)NC(=O)NC(=O)c2c(F)cccc2F,C17H8N2O3Cl2F8,1.68,48.676344,12,12,40,24.361656,33,817,689.15,362.310417193869,4,2,5,19,0.5,16,2,67.43,6.04439411935845,509.978423236,7.628,166,C17H8Cl2F8N2O3,0,0,0,32,511.150758389151,0.075,6
Row2593,O=C(O)CC[C@H]([C@@H]1[C@@]2([C@H]([C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@@]4([C@H]3CC2)C)CC1)C)C,C24H40O4,3.66,72.1197199999999,0,0,68,44.68628,31,622,4285.04,406.758703019847,4,3,6,3,0.5,10,1,77.76,5.95419631038688,392.292659760001,6.178,160,C24H40O4,0,0,0,28,392.572911386221,0.338235294117647,4
Row2602,S1SC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC([C@@H](NC([C@@H](NC([C@H](C1)N)=O)Cc2ccccc2)=O)Cc3ccccc3)=O)CCC(=O)N)CC(=O)N)C(=O)N4[C@H](C(=O)N[C@H](C(=O)NCC(=O)N)CCCCN)CCC4,C46H65N13O11S2,3.66,153.223545000001,12,12,137,87.1764550000001,75,2862,14488.26,964.794543301404,24,12,11,6,0.44,21,4,455.92,7.22881869049588,1039.4367919,-1.458,350,C46H65N13O11S2,0,0,0,72,1040.22276613173,0.167883211678832,19
Row2611,[Cl-].O=C(O)c1c(-c2c3-c(oc4c2ccc(c4)N(CC)CC)cc(=[N+](CC)CC)cc3)cccc1,C28H31N2O3Cl,3.88,76.7365829999999,20,21,65,40.723417,36,-1014444104,3367.06,464.748874702319,3,1,5,25,0.999000000999,12,1,56.69,6.16992500144231,478.202320532001,8.342,174,C28H31ClN2O3,0,1,-1,34,479.011327253628,0.123076923076923,7
Row2624,S(=O)(=O)(O)c1c(O)cc(C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccc(N(CC)CC)cc3)c(c1)S(=O)(=O)O,C27H33N2O7S2,3.22,83.1381689999999,12,12,71,52.987831,40,842,3923.11,512.175465274664,7,3,5,30,0.5,16,1,151.98,6.32192809488736,561.172918396001,4.489,198,C27H33N2O7S2,1,1,0,38,561.693324982661,0.112676056338028,9
Row2625,O=C(OCCCCCCCC)CCCCC(=O)OCCCCCCCC,C22H42O4,3.44,69.9333059999999,0,0,68,51.662694,25,852,3839.04,418.956109870514,4,0,24,3,0.478260869565217,23,2,52.6,5.64385618977472,370.308309824001,7.9,102,C22H42O4,0,0,0,26,370.567321100297,0.294117647058823,21
Row2629,O=C1C=C2[C@]([C@@H]3[C@H]([C@H]4[C@]([C@@H](OC5=CCCC5)CC4)(C)CC3)CC2)(C)C=C1,C24H32O2,3.88,65.181376,0,0,58,37.856624,30,572,3194.02,368.912414815525,2,0,0,6,0.461538461538462,4,1,26.3,5.90689059560852,352.240230264001,5.783,154,C24H32O2,0,0,0,26,352.510575500476,0.293103448275862,2
Row2632,O=C(OCC(CCCC)CC)c1c(C(=O)OCC(CCCC)CC)cccc1,C24H38O4,3.66,70.7861339999999,6,6,66,47.289866,28,690,3600.04,422.382244319047,4,0,9,12,0.470588235294118,20,2,52.6,5.8073549220576,390.277009696001,8.602,124,C24H38O4,0,0,0,28,390.55702987857,0.242424242424242,16
Row2636,Ic1c(NC(=O)C)c(I)c(C(=O)O)c(c1NC(=O)C)I,C11H9N2O4I3,1.68,46.819137,6,6,29,24.802863,20,246,461.09,292.721910909108,6,3,3,15,0.375,9,1,95.5,5.32192809488736,613.769650768,3.349,98,C11H9I3N2O4,0,0,0,20,613.91400677345,0.0689655172413793,3
Row2642,O=C(O)CCCCCCC/C=C\CCCCCC,C16H30O2,3.0,49.76779,0,0,48,33.75421,17,415,1903.02,297.59974871419,2,1,17,3,0.5,15,2,37.3,5.08746284125034,254.2245802,7.054,68,C16H30O2,0,0,0,18,254.40880681852,0.270833333333333,13
Row2644,O=C(OCC(COC(=O)C=C)(COC(=O)C=C)CC)C=C,C15H20O6,2.45,44.54786,0,0,41,30.48614,20,300,1180.06,304.918836087367,6,0,11,5,0.5,14,1,78.9,5.32192809488736,296.125988360001,2.375,90,C15H20O6,0,0,0,21,296.316283093752,0.146341463414634,13
Row2645,c12c(cccc1)C3c4ccccc4C2c5ccccc35,C20H14,3.66,44.535102,18,18,34,15.304898,24,270,1064.0,236.265729406934,0,0,0,6,0.428571428571429,0,1,0,5.58496250072116,254.109550448,5.244,120,C20H14,0,0,0,20,254.325888489321,0.0588235294117647,0
Row2650,O=c1c2c(O)c(c(O)cc2oc3c1c(c(OC)c(c3)O)CC=C(C)C)CC=C(C)C,C24H26O6,3.44,64.388618,14,16,56,33.213382,32,624,2494.06,393.803945515369,0,3,4,19,0.461538461538462,13,1,100.13,6.0,410.172938552001,5.977,158,C24H26O6,0,0,0,30,410.460550687799,0.125,5
Row2658,N1C(CCCC1)CC(C2CCCCC2)C3CCCCC3,C19H35N,3.44,57.877755,0,0,55,38.922245,22,313,2869.01,311.107550698035,1,1,2,0,0.444444444444444,4,1,12.03,5.4594316186373,277.276950120001,7.471,100,C19H35N,0,0,0,20,277.488611629911,0.345454545454545,4
Row2660,O=C(N[C@H]1[C@H](O[C@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O)N)CO)[C@@H](O)[C@H](O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CN)[C@H](C1)N)[C@@H](O)CCN,C22H43N5O13,1.9,83.3180989999999,0,0,83,53.649901,42,958,5665.18,518.619033814797,18,13,6,3,0.466666666666667,22,3,331.94,6.39231742277876,585.285736436001,-6.562,206,C22H43N5O13,0,0,0,40,585.603422237427,0.253012048192771,10
Row2667,OCCCCCCCCC/C=C/C=C\CCC,C16H30O,3.11,48.96579,0,0,47,32.79621,16,384,1844.01,288.809522013628,1,1,17,4,0.5,14,2,20.23,5.0,238.22966558,6.719,62,C16H30O,0,0,0,17,238.409401890951,0.25531914893617,12
Row2681,c12c(cc3cc4ccccc4cc3c1)cc5ccccc5c2,C22H14,3.88,48.055102,22,26,36,15.304898,26,448,1138.0,243.784781257068,0,0,0,22,0.454545454545455,0,1,0,5.70043971814109,278.109550448,7.086,128,C22H14,0,0,0,22,278.347360282897,0.0,0
Row2684,c1(c2c(c(-c3ccccc3)c4c1cccc4)cccc2)-c5ccccc5,C26H18,4.32,57.762274,26,28,44,19.677726,30,478,1654.0,307.695802358935,0,0,0,26,0.454545454545455,2,1,0,5.90689059560852,330.140850576,8.434,144,C26H18,0,0,0,26,330.422066885352,0.0,2
