row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row14304,BrC(Br)(Br)CO,C2H3OBr3,1.24,15.472379,0,0,9,7.149621,5,24,34.04,109.789511585795,1,1,4,0,0.333333333333333,5,0,20.23,3.32192809488736,279.773401016,2.351,24,C2H3Br3O,0,0,0,6,282.755282895173,0.222222222222222,1
Row14305,S=c1n(N)c(NN)n[nH]1,C2H6N6S,0.91,17.020758,5,5,15,7.039242,9,66,153.07,110.008637156734,4,4,2,9,0.4,3,0,129.77,4.16992500144231,146.037465192,-1.469,42,C2H6N6S,0,0,0,9,146.175420551785,0.0,1
Row14306,O=[N+]([O-])c1ccc(/C=C/C=C/C=O)cc1,C11H9NO3,2.23,28.867137,6,6,24,12.052863,15,248,366.04,194.468060288784,1,0,6,15,0.454545454545455,5,0,60.21,4.90689059560852,203.058243148,2.576,66,C11H9NO3,0,1,-1,15,203.194479638844,0.0,4
Row14307,Clc1c(OP(=O)(OC)NC)ccc(c1)C(C)(C)C,C12H19NO3ClP,2.12,43.105067,6,6,37,34.120933,18,248,1063.06,257.348200896284,3,1,5,11,0.444444444444444,11,0,57.37,5.16992500144231,291.079107778001,3.47,90,C12H19ClNO3P,0,0,0,18,291.711322282074,0.162162162162162,5
Row14309,P(C)C,C2H7P,1.57,11.817551,0,0,10,13.262449,2,6,75.01,62.9756813605334,0,0,3,0,0.5,2,0,0,2.0,62.028536854,1.056,6,C2H7P,0,0,0,3,62.0508187003565,0.2,0
Row14310,PC,CH5P,1.46,8.723965,0,0,7,11.076035,1,2,34.01,41.7250086834667,0,0,2,0,0.0,1,0,0,1.0,48.01288679,0.528,2,CH5P,0,0,0,2,48.0242012959169,0.142857142857143,0
Row14312,O=C1O[C@H]2[C@@H](C)C([C@@]1([C@@]3(O[C@@H]([C@@H](C)[C@H]([C@H]3C)O)C)[C@H]2C)C)=O,C17H26O5,2.78,51.266618,0,0,48,34.171382,24,284,2038.05,304.19703733934,5,1,0,3,0.5,7,0,72.83,5.58496250072116,310.178023932001,1.332,130,C17H26O5,0,0,0,22,310.385994482714,0.3125,0
Row14313,O=C1OC2C3C(=CCC34OC4(C)CCC2C1=C)C,C15H18O3,2.78,40.808274,0,0,36,24.467726,21,220,1215.03,237.031697284884,3,0,0,5,0.428571428571429,2,0,38.83,5.39231742277876,246.125594436,1.47,114,C15H18O3,0,0,0,18,246.302186803392,0.277777777777778,0
Row14315,O=C1CC2C(CCC2C1)CCCCC(OC)CC,C16H28O2,3.0,48.434204,0,0,46,33.483796,19,328,1903.02,275.52329001339,2,0,7,2,0.454545454545455,9,0,26.3,5.24792751344359,252.208930136,3.952,88,C16H28O2,0,0,0,18,252.392925310869,0.326086956521739,7
Row14316,S(C(=O)C)C1C2C(C3(C=CC(C=C3C1)=O)C)CCC4(C2C5C(C46OC(=O)CC6)C5)C,C25H30O4S,3.66,70.1117899999999,0,0,60,39.86621,35,610,3355.05,407.304959498514,4,0,3,6,0.5,5,0,85.74,6.12928301694497,426.186480440001,3.809,188,C25H30O4S,0,0,0,30,426.570324737789,0.3,2
Row14317,O=C1C=C2C(C3C(C4C(C5(OC(=O)CC5)C6C4C6)(C)CC3)C7C2C7)(C)C=C1,C24H28O3,3.77,63.316204,0,0,55,34.441796,33,571,3019.03,352.989724114486,3,0,0,6,0.5,2,0,43.37,6.04439411935845,364.203844756001,4.814,182,C24H28O3,0,0,0,27,364.478217412742,0.327272727272727,0
Row14318,O=C1C(=C2[C@H]([C@H]3[C@]([C@@H](OC(=O)C)CC3)(C)CC2)CC1)CC,C18H26O3,3.11,51.422618,0,0,47,32.255382,23,336,1981.03,301.276109863284,3,0,3,4,0.5,6,0,43.37,5.52356195605701,290.188194692001,2.794,116,C18H26O3,0,0,0,21,290.397920524363,0.297872340425532,3
Row14319,ClC=1C2=CC(=O)OC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3C1)CC[C@]4(O)C(=O)C)C)C,C20H25O4Cl,3.11,57.257825,0,0,50,31.582175,28,450,2209.05,344.876456184413,4,1,3,7,0.454545454545455,6,0,63.6,5.8073549220576,364.144136960001,2.099,150,C20H25ClO4,0,0,0,25,364.863794069866,0.28,1
Row14320,O=C1C2C(Oc3c(OC)cccc3C2)C(C)(C)C4C1Cc5cccc(c5O4)OC,C24H26O5,3.55,63.586618,12,12,55,37.045382,33,603,2669.05,365.573718814808,1,0,2,8,0.5,6,0,53.99,6.04439411935845,394.178023932001,3.207,168,C24H26O5,0,0,0,29,394.46114576023,0.2,2
Row14321,O=C1C(=C(C)C(C1)O)C/C=C/CC,C11H16O2,2.45,31.632688,0,0,29,18.449312,13,160,685.02,196.126908183256,2,1,5,4,0.5,6,0,37.3,4.70043971814109,180.115029752,1.349,60,C11H16O2,0,0,0,13,180.243956781019,0.206896551724138,3
Row14322,O[C@H]1[C@@H](O)[C@H](NC[C@@H]1O)CO,C6H13NO4,1.57,23.536309,0,0,24,14.871691,11,95,466.05,146.133574765611,5,5,2,0,0.5,5,0,92.95,4.4594316186373,163.084457896,-0.929,52,C6H13NO4,0,0,0,11,163.171968097777,0.25,1
Row14324,O=C1C2(C(C3C(c4c(cc(O)cc4)CC3C)CC2)CC1)C,C19H24O2,3.33,51.047032,6,6,45,27.194968,24,347,1884.02,283.88895038699,1,1,0,7,0.5,3,0,37.3,5.58496250072116,284.177630008001,4.133,124,C19H24O2,0,0,0,21,284.39336998593,0.266666666666667,0
Row14325,O=C1OCC(=C1)CC[C@]2([C@H]3[C@]([C@@]4(O[C@@H]4CC3)C)(C[C@@H]([C@H]2C)OC(=O)/C(=C/C)/C)C)C,C25H36O5,3.66,72.0145479999999,0,0,66,47.019452,33,628,3891.05,424.935538243875,5,0,5,5,0.461538461538462,12,0,65.13,6.04439411935845,416.256274252001,4.72,172,C25H36O5,0,0,0,30,416.551289195276,0.287878787878788,6
Row14326,O1[C@@H]2c3c4c5c6c(cccc6ccc5cc3[C@H]([C@@H]([C@H]12)O)O)cc4,C20H14O3,3.33,46.941102,16,19,37,17.220898,28,407,1258.03,242.016409508618,3,2,0,16,0.5,2,0,52.99,5.8073549220576,302.094294308,3.623,146,C20H14O3,0,0,0,23,302.324103272029,0.108108108108108,0
Row14328,Fc1nc(N)c2ncn(c2n1)[C@@H]3O[C@](C#C)(CO)[C@H](C3)O,C12H12N5O3F,1.79,37.584516,9,10,33,21.517484,23,324,805.09,228.842185896824,7,3,2,10,0.444444444444444,6,0,119.31,5.52356195605701,293.092417464,-0.545,116,C12H12FN5O3,0,0,0,21,293.254253845254,0.151515151515152,2
Row14330,[N+](=[N-])=C(c1ccccc1)c2ccccc2,C13H10N2,2.67,31.74793,12,12,25,11.59207,16,194,466.02,187.7931922454,1,0,3,15,0.5,2,0,0,5.0,194.08439832,3.982,72,C13H10N2,0,1,-1,15,194.232380610574,0.0,2
Row14339,O=C(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)C)CCC(=O)O,C22H28O5,3.33,61.400204,6,6,55,34.441796,30,648,2662.05,359.511125665474,4,2,6,7,0.466666666666667,8,0,83.83,5.90689059560852,372.193673996001,4.342,150,C22H28O5,0,0,0,27,372.455555474305,0.254545454545454,5
Row14345,O=C1[C@@]2([C@H]([C@H]3[C@@H](c4c(cc(OC(=O)C)cc4)CC3)CC2)CC1)C,C20H24O3,3.33,53.609032,6,6,47,30.068968,26,459,1994.03,307.338703012618,2,0,3,9,0.5,4,0,43.37,5.70043971814109,312.172544628001,3.816,132,C20H24O3,0,0,0,23,312.403510810287,0.25531914893617,2
Row14348,NCc1cc(ccc1)CN,C8H12N2,2.12,24.281516,6,6,22,11.798484,10,90,394.02,137.752021320867,2,2,2,6,0.5,4,0,52.04,4.32192809488736,136.100048384,0.266,44,C8H12N2,0,0,0,10,136.194582634286,0.0909090909090909,2
Row14349,ClC(Cl)(C(=O)O)C,C3H4O2Cl2,1.35,13.911172,0,0,11,6.170828,6,29,58.04,105.810542819589,2,1,4,3,0.333333333333333,5,0,37.3,3.58496250072116,141.958834728,0.772,30,C3H4Cl2O2,0,0,0,7,142.968655717174,0.181818181818182,1
Row14350,[Pb](C)(C)(C)C,C4H12Pb,1.79,21.841516,0,0,17,33.278484,4,12,236.01,#NUM!,0,0,3,0,0.5,4,0,0,3.0,268.070552484,2.112,20,C4H12Pb,0,0,0,5,267.355140296061,0.235294117647059,0
Row14352,S(c1n[nH]c(n1)N)CC(=O)O[C@H]2[C@@]3([C@@H](CC[C@@]4([C@H]3C(=O)CC4)[C@@H](C)[C@@H]([C@@](C2)(CC)C)O)C)C,C24H38N4O4S,3.11,78.0861339999999,5,5,71,48.973866,36,745,4420.09,450.445391807714,7,3,4,6,0.461538461538462,13,0,156.49,6.16992500144231,478.261376696001,4.179,186,C24H38N4O4S,0,0,0,33,478.649927699752,0.28169014084507,6
Row14353,Brc1c2c(ccc1)cccc2,C10H7Br,2.45,25.317551,10,11,18,8.942449,12,99,251.01,141.104713031434,0,0,0,10,0.4,1,0,0,4.58496250072116,205.973112324,4.086,56,C10H7Br,0,0,0,11,207.066472215511,0.0,0
Row14354,S=c1[nH]c(=O)[nH]c2c1[nH]c(=O)[nH]2,C5H4N4O2S,1.24,20.371172,9,10,16,10.068828,13,116,157.07,139.854147916722,0,4,0,12,0.5,0,0,129.39,4.70043971814109,184.005496368,-0.762,64,C5H4N4O2S,0,0,0,12,184.177150175564,0.0,0
Row14355,S=C=NCc1ccccc1,C8H7NS,2.12,22.747551,6,6,17,10.112449,10,107,199.02,139.9913677687,1,0,4,6,0.428571428571429,2,0,44.45,4.32192809488736,149.029920224,2.816,42,C8H7NS,0,0,0,10,149.214260651159,0.0588235294117647,2
Row14356,Oc1cc2c(C3C(C4C(C(O)C(C4)O)(C)CC3)CC2)cc1,C18H24O3,3.11,50.089032,6,6,45,26.236968,24,355,1884.03,278.019651162484,2,3,0,7,0.5,4,0,60.69,5.58496250072116,288.172544628001,3.631,124,C18H24O3,0,0,0,21,288.382039016711,0.266666666666667,0
Row14358,Oc1cc2c(C3C(C4C(C(O)CC4)(C)CC3)=CC2)cc1,C18H22O2,3.22,47.953446,6,6,42,24.050554,23,336,1645.02,266.592965761123,1,2,0,7,0.5,3,0,40.46,5.52356195605701,270.161979944,3.46,118,C18H22O2,0,0,0,20,270.36675258149,0.238095238095238,0
Row14361,O=C1C2(C(C3C(c4c(cc(OC(=O)C)cc4)CC3)CC2)CC1OC(=O)C)C,C22H26O5,3.33,60.066618,6,6,53,35.129382,30,609,2434.05,356.874666964674,4,0,3,9,0.5,7,0,69.67,5.90689059560852,370.178023932001,3.792,152,C22H26O5,0,0,0,27,370.439673966654,0.245283018867925,4
Row14363,S(=O)(=O)(Oc1cc2c(C3C(C4C(C(O)(C#C)CC4)(C)CC3)CC2)cc1)C(C)C,C23H30O4S,3.44,66.5917899999999,6,6,58,41.18821,31,642,2965.05,386.52590764838,3,1,4,10,0.5,7,0,71.98,5.95419631038688,402.186480440001,3.989,162,C23H30O4S,0,0,0,28,402.548852944213,0.258620689655172,3
Row14364,O=C1C=C2[C@@H]([C@@H]3[C@H]([C@H]4[C@]([C@@](O)(C(=O)C)CC4)(C)CC3)CC2)CC1,C20H28O3,3.33,56.276204,0,0,51,32.525796,26,420,2410.03,323.511620414218,3,1,3,4,0.454545454545455,4,0,54.37,5.70043971814109,316.203844756001,2.623,136,C20H28O3,0,0,0,23,316.43527382559,0.313725490196078,1
Row14367,P(=O)(Oc1ccc(C(C(c2ccc(OP(=O)(O)O)cc2)CC)CC)cc1)(O)O,C18H24O8P2,2.34,61.359032,12,12,52,46.944968,29,652,2053.1,367.528832780491,6,4,6,11,0.466666666666667,15,0,153.14,5.85798099512757,430.094640988001,2.848,142,C18H24O8P2,0,0,0,28,430.326586914558,0.115384615384615,9
Row14369,O=C(OCC)CC#N,C5H7NO2,1.68,16.171551,0,0,15,11.186449,7,61,140.03,115.704219337022,3,0,7,3,0.5,4,0,50.09,3.8073549220576,113.047678464,-0.0239999999999999,28,C5H7NO2,0,0,0,8,113.114777822895,0.2,3
