Pressure (bar), Loading (mol/kg)
0.1, 0.01074703061564
0.3, 0.03444894103684
0.5, 0.05655990130648
0.7, 0.08204757210188
0.9, 0.099028529842
1.1, 0.12230835144748
1.3, 0.1464323506844
1.5, 0.1681861588792
1.7, 0.18802433321804
1.9, 0.21140155993484
2.1, 0.23630480006232
2.3, 0.25773392455272
2.5, 0.2764681742966
2.7, 0.30575464443348
2.9, 0.32283300728492
3.1, 0.3504960588998
3.3, 0.35906770869596
3.5, 0.39117892706112
3.7, 0.41367950777604
3.9, 0.4311799594432
4.0, 0.4532584513424
