Pressure(bar),Loading(mmol/g)
0.200000000,0.099483087
0.800000000,0.404166275
1.400000000,0.718719848
2.000000000,1.051228430
2.600000000,1.381561631
3.200000000,1.753746561
3.800000000,2.208173874
4.400000000,2.458764757
5.000000000,2.865009008
5.600000000,3.248947488
6.200000000,3.625710459
6.800000000,4.141373118
7.400000000,4.410178757
8.000000000,5.066948954
8.600000000,5.618748910
9.200000000,5.986615547
9.800000000,6.665529173
10.200000000,6.948393616
