Pressure(bar),Loading(mol/kg)
0.1,0.010747031
0.3,0.034448941
0.5,0.056559901
0.7,0.082047572
0.9,0.09902853
1.1,0.122308351
1.3,0.146432351
1.5,0.168186159
1.7,0.188024333
1.9,0.21140156
2.1,0.2363048
2.3,0.257733925
2.5,0.276468174
2.7,0.305754644
2.9,0.322833007
3.1,0.350496059
3.3,0.359067709
3.5,0.391178927
3.7,0.413679508
3.9,0.431179959
4,0.453258451
